Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
14 AUG 2026,AKSHARCHEM,BE,AKSHARCHEM INDIA LIMITED ,Listed    ,14 AUG 2026,              10.00,           8033099,            305.65,     2455236378.35
14 AUG 2026,AKSHOPTFBR,BE,AKSH OPTIFIBRE  LTD      ,Listed    ,14 AUG 2026,               5.00,         162697971,              6.65,     1081941507.15
14 AUG 2026,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,14 AUG 2026,               2.00,         157393988,            726.60,   114362471680.80     
14 AUG 2026,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,14 AUG 2026,               1.00,         271158100,              8.30,     2247900649.00   
14 AUG 2026,ALBERTDAVD,EQ,ALBERT DAVID LIMITED     ,Listed    ,14 AUG 2026,              10.00,           5707162,            812.50,     4637069125.00
14 AUG 2026,ALCODIS,SM,ALCOKRAFT DISTILLERIE LTD,Listed    ,14 AUG 2026,              10.00,          10250000,             61.05,      625762500.00   
14 AUG 2026,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,14 AUG 2026,               2.00,         256781828,             86.85,    22301501761.80
14 AUG 2026,ALGOQUANT,EQ,ALGOQUANT FINTECH LIMITED,Listed    ,14 AUG 2026,               1.00,         281096028,             66.00,    18552337848.00 
14 AUG 2026,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,14 AUG 2026,               5.00,          16411840,            719.60,    11809960064.00    
14 AUG 2026,ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD ,Listed    ,14 AUG 2026,               2.00,         122739448,           1386.70,   170202792541.60    
14 AUG 2026,ALKALI,BE,ALKALI METALS LTD        ,Listed    ,14 AUG 2026,              10.00,          10182506,             66.85,      680904176.20    
14 AUG 2026,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,14 AUG 2026,               2.00,         119565000,           5368.00,   641824920000.00     
14 AUG 2026,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,14 AUG 2026,               2.00,          51144052,           1916.90,    98038033278.80
14 AUG 2026,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,14 AUG 2026,               2.00,        1497778469,             10.00,    14977784690.00  
14 AUG 2026,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,14 AUG 2026,              10.00,          15238326,            813.40,    12394854368.40   
14 AUG 2026,ALLETEC,ST,ALL E TECHNOLOGIES LTD   ,Listed    ,14 AUG 2026,              10.00,          20194176,            137.00,     2766602112.00   
14 AUG 2026,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,14 AUG 2026,               2.00,          65507778,            215.55,    14119546470.10   
14 AUG 2026,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,14 AUG 2026,               1.00,         174899756,             14.30,     2501066510.80   
14 AUG 2026,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,14 AUG 2026,               1.00,        4965240401,             11.60,    57696093459.60  
14 AUG 2026,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,14 AUG 2026,              10.00,          21040600,             64.25,     1352279362.00      
14 AUG 2026,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,14 AUG 2026,              10.00,          25543000,            777.10,    19849465300.00
14 AUG 2026,ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED ,Listed    ,14 AUG 2026,              10.00,           6364767,            301.35,     1918086183.10  
14 AUG 2026,ALPINETEX,EQ,ALPINE TEXWORLD LIMITED  ,Listed    ,14 AUG 2026,              10.00,          38247000,             58.60,     2241274200.00 
14 AUG 2026,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,14 AUG 2026,              10.00,          24847420,             49.60,     1232432032.00   
14 AUG 2026,AMAGI,EQ,AMAGI MEDIA LABS LIMITED ,Listed    ,14 AUG 2026,               5.00,         216338944,            608.70,   131685515212.80     
14 AUG 2026,AMANTA,BE,AMANTA HEALTHCARE LIMITED,Listed    ,14 AUG 2026,              10.00,          38829351,            156.35,     6070192441.85    
14 AUG 2026,AMBAAUTO,SM,AMBA AUTO SALES AND SER L,Listed    ,14 AUG 2026,              10.00,          18324000,            105.95,     1941427800.00  
14 AUG 2026,AMBALALSA,EQ,AMBALAL SARABHAI ENT L   ,Permitted ,14 AUG 2026,              10.00,          76633296,             42.25,     3239289421.90 
14 AUG 2026,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,14 AUG 2026,              10.00,           7658659,            115.00,      880745785.00
14 AUG 2026,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,14 AUG 2026,              10.00,          35267767,           7222.00,   254703813274.00     
14 AUG 2026,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,14 AUG 2026,              10.00,          17177400,             24.95,      428232582.00
14 AUG 2026,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,14 AUG 2026,              10.00,           5725000,           1598.60,     9151985000.00   
14 AUG 2026,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,14 AUG 2026,               2.00,        2484817186,            417.50,  1037411175155.00 
14 AUG 2026,AMCL,SM,ANB METAL CAST LIMITED   ,Listed    ,14 AUG 2026,              10.00,          11834780,            392.00,     4639233760.00      
14 AUG 2026,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,14 AUG 2026,              10.00,          19166749,             54.80,     1050337845.20    
14 AUG 2026,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,14 AUG 2026,              10.00,           7500000,            110.00,      825000000.00     
14 AUG 2026,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,13 AUG 2026,              10.00,           1748200,             65.00,      113633000.00   
14 AUG 2026,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,14 AUG 2026,               2.00,          41000000,             39.35,     1613760000.00   
14 AUG 2026,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,14 AUG 2026,               2.00,          55020000,            193.05,    10621611000.00   
14 AUG 2026,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,14 AUG 2026,               1.00,          28910630,            496.05,    14341118011.50
14 AUG 2026,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,14 AUG 2026,               5.00,         166041268,           2174.70,   361089945519.60
14 AUG 2026,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,14 AUG 2026,             100.00,         217500000,            105.30,    22902750000.00   
14 AUG 2026,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,14 AUG 2026,               2.00,         359876930,            629.95,   226704472053.50  
14 AUG 2026,ANAWIL,ST,ANAWIL WIRE AND ENGIN LTD,Listed    ,14 AUG 2026,              10.00,          24999800,            420.45,    10511165910.00    
14 AUG 2026,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,14 AUG 2026,               2.00,         198850195,             59.70,    11869368139.55 
14 AUG 2026,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,14 AUG 2026,               2.00,         135535390,            101.90,    13808345533.20
14 AUG 2026,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,14 AUG 2026,               1.00,         913349399,            287.30,   262405282332.70  
14 AUG 2026,ANIKINDS,EQ,ANIK INDUSTRIES LTD      ,Listed    ,14 AUG 2026,              10.00,          27753486,             42.70,     1184796317.35  
14 AUG 2026,ANKITMETAL,BZ,ANKIT MET & POW LTD      ,Listed    ,14 AUG 2026,              10.00,         141110500,              1.60,      222954590.00
